owner_id,show,num,considered,mean_top5,sample,owner_application_date,owner_number_of_shows,error_type,error
c014faa3-aa99-3aaa-de5b-0611779902b4,1,3,6,0.4866,"[{'user_id': '4e90725b-9131-3a99-df0b-58970ad5f258', 'score': 0.5205}, {'user_id': '2270ee39-40ce-7252-9378-e83b87b3dd0a', 'score': 0.518}, {'user_id': 'df80db9f-1c88-c75e-3e9e-cf7fd17bddb8', 'score': 0.4945}]",2025-07-04,0,,
8f41b6fa-1647-0484-8c29-d25312626c19,1,3,6,0.4828,"[{'user_id': 'f271dd3f-d95b-dc62-1bb3-743465ac2c1c', 'score': 0.734}, {'user_id': '253704a5-0e87-ef7b-8e0e-75f7090d706c', 'score': 0.4497}, {'user_id': 'd5a27b6c-e402-40d1-cf8a-b109a655ea04', 'score': 0.4263}]",2025-07-13,0,,
ba44a66d-f15c-6fb1-8953-cebeedc98a70,1,3,10,0.5817,"[{'user_id': '3b11f2f0-f900-f1c7-6ec1-20a3aaf7f146', 'score': 0.6041}, {'user_id': 'd54a1925-bab0-1c78-1f30-d4064aad809f', 'score': 0.5898}, {'user_id': '735938c2-26ac-ebaf-396b-d7ff8dbc028f', 'score': 0.5756}]",2025-07-21,0,,
d5dd8cfc-bbfd-c7c0-0d2c-2c652af4d7ac,1,3,6,0.4604,"[{'user_id': 'aa8ddff8-2656-8fea-b1ab-aa7ef962f308', 'score': 0.6049}, {'user_id': '097a26be-7d8d-ed04-2cb7-3e7e3f2ba0f4', 'score': 0.4869}, {'user_id': 'cb7e9e1f-114f-b2e0-6e73-49d5a8ab402e', 'score': 0.4469}]",2025-08-07,0,,
cc2ad0d5-e1b5-b4cb-c078-9e8a132bbfb8,1,3,2,0.3422,"[{'user_id': '116eceee-ce62-3b5e-38ef-4b7c844b377c', 'score': 0.3637}, {'user_id': '99fef2e9-c7e4-f816-51af-9e98b5485c72', 'score': 0.3206}]",2025-07-19,0,,
5005a76f-8572-243c-728b-6355c30689e3,1,3,4,0.4662,"[{'user_id': '74cb0de9-10d8-5891-646e-69bf0a49f4bb', 'score': 0.6292}, {'user_id': 'c96520aa-319d-fb6e-112f-b31febc9c7a5', 'score': 0.5412}, {'user_id': '923ec162-4616-91b4-e250-d0c5e12542fe', 'score': 0.4086}]",2025-07-01,0,,
1aecd2f4-ff5a-4409-a654-759c6115cb02,1,3,10,0.5446,"[{'user_id': 'f7c4fc78-01d7-adcb-cca4-2760d798c867', 'score': 0.5613}, {'user_id': '3bc1f9a0-62cd-4e06-2906-288daacf897e', 'score': 0.5519}, {'user_id': 'f09fd419-3e58-d5b3-6357-2ef9fe4037d8', 'score': 0.5505}]",2025-07-09,0,,
8145b871-2e69-63cb-0f3e-65c5b49a96ed,1,3,10,0.6656,"[{'user_id': '0422535c-58ad-ac69-c236-1dec59b11dd1', 'score': 0.6958}, {'user_id': '3e0dd798-c605-c53f-1eb8-1286804142a1', 'score': 0.6875}, {'user_id': '0f11e2cf-b434-4085-3f8f-ec983bb19f17', 'score': 0.6587}]",2025-08-09,0,,
d3e06336-e59b-ab17-eca4-a89e312d4f7d,1,3,10,0.6792,"[{'user_id': 'b56baded-1ba3-5dea-00df-0ef05b324652', 'score': 0.7174}, {'user_id': '54564a31-493b-d8ab-e5aa-4124daa078fa', 'score': 0.6957}, {'user_id': '5b201980-5121-39d3-3267-040d02c780a7', 'score': 0.6748}]",2025-07-29,0,,
f238770a-5476-bdcf-2e8d-d71117f0a18c,1,3,4,0.4262,"[{'user_id': '7702862d-70cc-9133-6d15-7488df3f5000', 'score': 0.536}, {'user_id': '8d9a9eaa-ee3a-46f5-f74e-f498f8ee9dd7', 'score': 0.4619}, {'user_id': '900e81a2-f263-eceb-5292-6f81de7c20d9', 'score': 0.4036}]",2025-07-20,0,,
2a126627-8c75-2d76-2d2f-8d3c0b8e3292,1,3,10,0.6559,"[{'user_id': '6d5cb34f-9b55-22a5-8836-c416ed2ee176', 'score': 0.7509}, {'user_id': 'cbe23d2c-fbee-5867-2231-fcf76e738e98', 'score': 0.6528}, {'user_id': 'ab7179fd-c38f-05fa-ba67-7dff2b8ee2a3', 'score': 0.6311}]",2025-08-04,0,,
deea6342-5363-6f6a-f816-4e6d211bdac7,1,3,10,0.5372,"[{'user_id': '044f3c8e-bbff-651e-03f9-87eadfd84591', 'score': 0.5776}, {'user_id': 'fd61ac6c-76ed-af7d-3828-21280b849ae9', 'score': 0.5603}, {'user_id': 'd448701a-c4b6-6c74-ac36-4c18b16240ef', 'score': 0.5212}]",2025-07-24,0,,
